assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCF_009076145.1,Bifidobacterium adolescentis,BIOML-A166,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944505,2140530.0,,15.0,188733.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076155.1,Bifidobacterium adolescentis,BIOML-A169,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944508,2159310.0,,19.0,1179261.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076185.1,Bifidobacterium adolescentis,BIOML-A223,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944562,2198423.0,,13.0,1206000.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076225.1,Bifidobacterium adolescentis,BIOML-A168,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944507,2290656.0,,25.0,352704.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076235.1,Bifidobacterium adolescentis,BIOML-A229,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944568,2198756.0,,12.0,1206261.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076245.1,Bifidobacterium adolescentis,BIOML-A225,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944564,2199130.0,,16.0,353646.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076265.1,Bifidobacterium adolescentis,BIOML-A221,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944560,2198831.0,,15.0,372583.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076275.1,Bifidobacterium adolescentis,BIOML-A222,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944561,2213379.0,,21.0,1206263.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076315.1,Bifidobacterium adolescentis,BIOML-A147,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944486,2147942.0,,14.0,359861.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076335.1,Bifidobacterium adolescentis,BIOML-A220,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944559,2199011.0,,12.0,1195661.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076345.1,Bifidobacterium adolescentis,BIOML-A218,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944557,2198561.0,,11.0,1206247.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076355.1,Bifidobacterium adolescentis,BIOML-A219,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944558,2198890.0,,12.0,1206383.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076405.1,Bifidobacterium adolescentis,BIOML-A217,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944556,2201066.0,,15.0,1206265.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076415.1,Bifidobacterium adolescentis,BIOML-A149,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944488,2141366.0,,9.0,1179254.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076425.1,Bifidobacterium adolescentis,BIOML-A211,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944550,2199791.0,,24.0,179195.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076445.1,Bifidobacterium adolescentis,BIOML-A216,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944555,2198557.0,,14.0,1206001.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076465.1,Bifidobacterium adolescentis,BIOML-A146,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944485,2138303.0,,13.0,1179139.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076505.1,Bifidobacterium adolescentis,BIOML-A148,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944487,2143183.0,,10.0,352904.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076515.1,Bifidobacterium adolescentis,BIOML-A215,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944554,2142799.0,,17.0,1206264.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076535.1,Bifidobacterium adolescentis,BIOML-A213,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944552,2199299.0,,19.0,374199.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076565.1,Bifidobacterium adolescentis,BIOML-A151,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944490,2148584.0,,11.0,1179016.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076575.1,Bifidobacterium adolescentis,BIOML-A214,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944553,2198776.0,,14.0,1206261.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076585.1,Bifidobacterium adolescentis,BIOML-A212,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944551,2199214.0,,19.0,303829.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076595.1,Bifidobacterium adolescentis,BIOML-A210,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944549,2197269.0,,46.0,94041.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076625.1,Bifidobacterium adolescentis,BIOML-A204,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944543,2198790.0,,11.0,419119.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076655.1,Bifidobacterium adolescentis,BIOML-A208,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944547,2197853.0,,12.0,419186.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076675.1,Bifidobacterium adolescentis,BIOML-A203,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944542,2199346.0,,13.0,384286.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076695.1,Bifidobacterium adolescentis,BIOML-A202,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944541,2199058.0,,14.0,419177.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076715.1,Bifidobacterium adolescentis,BIOML-A201,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944540,2198925.0,,11.0,1206379.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076725.1,Bifidobacterium adolescentis,BIOML-A200,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944539,2199285.0,,12.0,419150.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076755.1,Bifidobacterium adolescentis,BIOML-A199,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944538,2143175.0,,19.0,1206424.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076785.1,Bifidobacterium adolescentis,BIOML-A198,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944537,2198800.0,,11.0,1206217.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076795.1,Bifidobacterium adolescentis,BIOML-A195,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944534,2200193.0,,14.0,419211.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076805.1,Bifidobacterium adolescentis,BIOML-A194,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944533,2198643.0,,12.0,419210.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076815.1,Bifidobacterium adolescentis,BIOML-A197,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944536,2202028.0,,13.0,384287.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076825.1,Bifidobacterium adolescentis,BIOML-A196,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944535,2133307.0,,12.0,353761.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076885.1,Bifidobacterium adolescentis,BIOML-A183,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944522,2143052.0,,7.0,1179252.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076895.1,Bifidobacterium adolescentis,BIOML-A191,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944530,2390982.0,,36.0,182425.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076905.1,Bifidobacterium adolescentis,BIOML-A193,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944532,2198444.0,,14.0,1206768.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076915.1,Bifidobacterium adolescentis,BIOML-A192,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944531,2184965.0,,25.0,327246.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076925.1,Bifidobacterium adolescentis,BIOML-A190,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944529,2392543.0,,31.0,181767.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076975.1,Bifidobacterium adolescentis,BIOML-A179,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944518,2171879.0,,11.0,1177408.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076985.1,Bifidobacterium adolescentis,BIOML-A181,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944520,2341839.0,,46.0,392371.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077005.1,Bifidobacterium adolescentis,BIOML-A182,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944521,2261983.0,,66.0,1179125.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077015.1,Bifidobacterium adolescentis,BIOML-A180,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944519,2141800.0,,12.0,1173593.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077045.1,Bifidobacterium adolescentis,BIOML-A177,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944516,2144178.0,,13.0,1173594.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077055.1,Bifidobacterium adolescentis,BIOML-A178,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944517,2142771.0,,7.0,1179289.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077075.1,Bifidobacterium adolescentis,BIOML-A176,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944515,2142557.0,,9.0,450491.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077125.1,Bifidobacterium adolescentis,BIOML-A175,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944514,2151938.0,,10.0,1179130.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077135.1,Bifidobacterium adolescentis,BIOML-A174,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944513,2169571.0,,10.0,362554.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077145.1,Bifidobacterium adolescentis,BIOML-A173,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944512,2178098.0,,12.0,1177667.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077155.1,Bifidobacterium adolescentis,BIOML-A172,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944511,2157269.0,,15.0,1179130.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077185.1,Bifidobacterium adolescentis,BIOML-A171,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944510,2147271.0,,9.0,513366.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077225.1,Bifidobacterium adolescentis,BIOML-A164,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944503,2141427.0,,10.0,1179245.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077235.1,Bifidobacterium adolescentis,BIOML-A163,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944502,2160583.0,,8.0,535819.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009077265.1,Bifidobacterium adolescentis,BIOML-A162,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944501,2142337.0,,7.0,1173829.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
